No,カテゴリ名,カテゴリID,サブカテゴリ名,サブカテゴリID,記事タイトル,記事ID,記事内容,ラベル,キーワード,作成者名,更新者名
1,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"製品仕様：JBUDS AIR SPORT
TRUE WIRELESS EARBUDS",0271371d-a13d-4ad8-8c67-050a3bc75948,"<div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/6dfa289b-84ba-4c34-bbc4-f1af1402e164/4c3a5bc7-c604-4bd8-a510-ee8a45695640.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><h2>INCLUDES/TECH SPECS</h2><div><strong>INCLUDES:</strong>JBuds Air Sport True Wireless Earbuds, Charging Case with Integrated Charging Cable, 3 Sets Gel Tips, 1 Set Cloud FoamEartips, JLab Two Year Warranty.</div><ul>
  <li><strong>Speaker:</strong>Φ8mm Dynamic, Neodymium Magnet, 20Hz-20kHz, 32 Ω</li>  <li><strong>Output:</strong>103±3db</li>  <li><strong>Microphone:</strong>1 Knowles, 2 Silicon, -4.8dB±3 at 1KHz</li>  <li><strong>Battery Life:</strong>6.5+ hours in each earbud, 34+ hours in case</li>  <li><strong>Input Power:</strong>DC 5V, 50mA</li>  <li><strong>Earbud Battery:</strong>60mAh lithium polymer</li>  <li><strong>Ear",,,"Shigeru Sasamura","Shigeru Sasamura"
2,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"製品仕様：JBUDS AIR
TRUE WIRELESS EARBUDS",68b72d9d-6828-45f3-aaad-88e0eb9b0062,"<div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/b4710be3-8e6d-4873-a18f-9e16cd6ea04e/8626a83b-dd23-4f9d-ba77-836947b6fa35.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><div><strong>INCLUDES:</strong>JBuds Air True Wireless Earbuds, Charging Case, 3 Sets Gel Tips, 1 Set Cush Fins, JLab Two Year Warranty.</div><ul>
  <li><strong>Speaker:</strong>Φ8mm Dynamic, Neodymium Magnet, 20Hz-20kHz, 32 Ω</li>  <li><strong>Output:</strong>103±3db</li>  <li><strong>Microphone:</strong>Right ear only, MEMS, - 38dB ±3dB</li>  <li><strong>Battery Life:</strong>6 hours in each earbud, 18+ hours in charging case</li>  <li><strong>Input Power:</strong>DC 5V, 50mA</li>  <li><strong>Earbud Battery:</strong>60mAh lithium polymer</li>  <li><strong>Earbud Charge Time:</strong>1.5 Hours</li>  <li><strong>Rapid Charge:</strong",,,"Shigeru Sasamura","Shigeru Sasamura"
3,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"会社概要 （コピー）",7b990492-a2ab-4039-b40a-3d7ec5d2342c,"<div data-component-type=""text""><div>2021.11.25　更新</div></div><div data-component-type=""text""><div>名称</div><div>株式会社Proz (Proz.)</div><div>住所</div><div>〒160-0023<br />
東京都新宿区西新宿1-5-12 ニューセントラルビル8F<br />
</div><div>代表取締役</div><div>網本信幸</div><div>設立</div><div>2020年5月</div></div>",チャット①,"会社,概要","Shigeru Sasamura","勝本 秀夫"
4,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"取扱説明書：JBUDS AIR SPORT
TRUE WIRELESS EARBUDS （コピー）",84c209bb-caaf-45b0-b47f-0f4ceb6e4b85,"<div data-component-type=""text""><div><br />
<br />
<br />
<br />
</div><h3>FIRST TIME SET UP: BLUETOOTH PAIRING</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_BT_Set_Up.png?v=1620242764"" alt=""How to wirelessly connect your JBuds Air Sport"" /></div><h3>HOW TO CONTROL YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Controls.png?v=1620242763"" alt=""Controls for your JBuds Air Sport"" /></div><h3>HOW TO FIT YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Fitting.png?v=1620242763"" alt=""How to fit your JBuds Air Sport"" /></div><h3>TROUBLESHOOTING CONNECTION</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Troubleshoot.png?v=1620242763"" alt=""How to reconnect your JBuds Air Sport"" /></div></div><div dat",,,"Shigeru Sasamura","Shigeru Sasamura"
5,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"製品仕様：EPIC AIR ANC
TRUE WIRELESS EARBUDS",897a1d3e-76a5-4c3b-80ee-ea8e2a7c3ba1,"<div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/e46c3ad8-774f-4ac3-bcae-056921eec257/43ebc342-32e2-4af2-9edc-1a425ccaae37.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYCHARGINGBLUETOOTHGENERAL</strong></div><h2>INCLUDES/TECH SPECS</h2><div><strong>INCLUDES:</strong>Epic Air ANC True Wireless Earbuds, Charging Case with integrated USB Charging Cord, 3 Sets of Silicone Gel Tips, 2 Extra Long Tips, 1 set Cloud FoamEartips, JLab Two Year Warranty.</div><ul>
  <li><strong>Speaker:</strong>Φ8mm Dynamic, Neodymium Magnet, 20Hz-20kHz, 32Ω ± 15%</li>  <li><strong>Output:</strong>110±3db</li>  <li><strong>Microphone:</strong>3 left earbud MEMS, 3 right earbud MEMS, - 40dB±3dB</li>  <li><strong>Battery Life:</strong>12+ Hours in Earbuds, 36+ additional hours in charging case</li>  <li><strong>ANC Battery Life:</strong>Single Charge, 12+ AN",,,"Shigeru Sasamura","Shigeru Sasamura"
6,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"製品仕様：GO AIR
TRUE WIRELESS EARBUDS",9cac78bf-8899-4d56-8317-ba6c9f047e2b,"<div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/e114a8d2-ffe7-4843-9444-aa761d9fcae0/aca2aeb3-a6a7-4bf9-98b6-101f520ec54e.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><h2>INCLUDES/TECH SPECS</h2><div><strong>INCLUDES:</strong>GO Air True Wireless Earbuds, Charging Case w/ Integrated Charging Cable, 3 Sets Gel Tips: Small, Medium, Large, JLab Two Year Warranty.</div><ul>
  <li><strong>Speaker:</strong>Φ8mm Dynamic, Neodymium Magnet, 20Hz-20kHz, 32 Ω</li>  <li><strong>Output:</strong>103±3db</li>  <li><strong>Microphone:</strong>Both Ears, MEMS, - 38dB±3dB</li>  <li><strong>Battery Life:</strong>5 hours in each earbud</li>  <li><strong>Input Power:</strong>DC 5V, 50mA</li>  <li><strong>Earbud Battery:</strong>43mAh lithium polymer</li>  <li><strong>Earbud Charge Time:</strong>1.5 Hours</li>  <li><st",,,"Shigeru Sasamura","Shigeru Sasamura"
7,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"製品仕様：JBUDS AIR ICON
TRUE WIRELESS EARBUDS",b29b425b-8d33-412d-a9a8-d55fec9aded5,"<div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/8d9e4a89-028c-412f-9e33-e5ff49250588/ea9d45bb-aabe-498c-a3b1-1686b5f71bcf.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><div><strong>INCLUDES:</strong>JBuds Air Icon Earbuds, Charging Case, 3 Sets Gel Tips, 1 Set Cloud FoamEartip, 2 Set Cush Fins, JLab Two Year Warranty.</div><ul>
  <li><strong>Speaker:</strong>Φ8mm Dynamic, Neodymium Magnet, 20Hz-20kHz, 32 Ω</li>  <li><strong>Output:</strong>103±3db</li>  <li><strong>Microphone:</strong>Both ears, MEMS, -38dB ±3dB</li>  <li><strong>Battery Life:</strong>6 hours in each earbud, 18+ hours in case</li>  <li><strong>Input Power:</strong>DC 5V, 50mA</li>  <li><strong>Earbud Battery:</strong>60 mAh lithium polymer</li>  <li><strong>Earbud Charge Time:</strong>1.5 Hours</li>  <li><strong>Rapid Charge:</str",,,"Shigeru Sasamura","Shigeru Sasamura"
8,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"会社概要 （コピー）",e60dc434-2cab-4567-a515-86904afb68a2,"<div data-component-type=""text""><div>2021.11.25　更新</div></div><div data-component-type=""text""><div>名称</div><div>株式会社Proz (Proz.)</div><div>住所</div><div>〒160-0023<br />
東京都新宿区西新宿1-5-12 ニューセントラルビル8F<br />
</div><div>代表取締役</div><div>網本信幸</div><div>設立</div><div>2020年5月</div></div>",,,"Shigeru Sasamura","Shigeru Sasamura"
9,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"取扱説明書：JBUDS AIR SPORT
TRUE WIRELESS EARBUDS （コピー）",e721d3e0-22b0-46e3-825c-9e5deb0402ad,"<div data-component-type=""text""><div><br />
<br />
<br />
<br />
</div><h3>FIRST TIME SET UP: BLUETOOTH PAIRING</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_BT_Set_Up.png?v=1620242764"" alt=""How to wirelessly connect your JBuds Air Sport"" /></div><h3>HOW TO CONTROL YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Controls.png?v=1620242763"" alt=""Controls for your JBuds Air Sport"" /></div><h3>HOW TO FIT YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Fitting.png?v=1620242763"" alt=""How to fit your JBuds Air Sport"" /></div><h3>TROUBLESHOOTING CONNECTION</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Troubleshoot.png?v=1620242763"" alt=""How to reconnect your JBuds Air Sport"" /></div></div><div dat",,,"Shigeru Sasamura","Shigeru Sasamura"
10,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,EARBUDS,5f05fcb0-e283-4d44-9592-0bd21fb093f4,"製品仕様：GO AIR POP
TRUE WIRELESS EARBUDS",f0acce23-118f-4416-bca6-7cbcf9a1f264,"<div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/0020fb24-2332-47c6-880f-36901b207068/485f5b40-f2e8-4883-b8b9-f19737e1a4c6.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><div><strong>INCLUDES:</strong>GO Air POP True Wireless Earbuds, Charging Case w/ Integrated USB Charging Cable, 3 Sets Gel Tips: Small, Medium, Large, JLab Two Year Warranty.</div><ul>
  <li><strong>Speaker:</strong>Φ6mm Dynamic driver</li>  <li><strong>Output:</strong>103+/-3dB</li>  <li><strong>Microphone:</strong>MEMS -42dB+/-3dB</li>  <li><strong>Frequency Response:</strong>20Hz-20kHz</li>  <li><strong>Impedance:</strong>16Ω</li>  <li><strong>Battery Life:</strong>8+ hours in each earbud</li>  <li><strong>Total Playtime:</strong>32+ hours total</li>  <li><strong>Standby:</strong>60+ hours</li>  <li><strong>Input Power:</strong>3",,,"Shigeru Sasamura","Shigeru Sasamura"
11,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,HEADPHONES,72f9707f-5c3c-4ca3-8977-28cf41191c6e,"製品仕様：JBUDS WORK
WIRELESS OVER-EAR
HEADSET",95a615b8-81e4-41be-9243-66fbe50c1a6c,"<div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/9b525890-a383-45bc-b675-7f0a8ee1c052/2846a7ad-1063-478a-930d-1de490d352fd.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><h2>INCLUDES/TECH SPECS</h2><div><strong>INCLUDES:</strong>JBuds Work Wireless Over-Ear Headset, Type-C Charging Cable, Type-C to 3.5mm AUX Cable for Wired Use, JLab Two Year Warranty.</div><ul>
  <li><strong>Driver:</strong>40mm Dynamic, Neodymium Magnet, 20-20kHz, 32 Ω</li>  <li><strong>Microphone:</strong>2x Condenser Microphones (-42 +/- 1 dB)</li>  <li><strong>Battery:</strong>600mAh lithium polymer</li>  <li><strong>Battery Life:</strong>60+ Hours</li>  <li><strong>Input Power:</strong>5V, 1000mA</li>  <li><strong>Charge Plug:</strong>Type-C</li>  <li><strong>Charge Time:</strong>3 Hours</li>  <li><strong>Standby:</strong>600 ",,,"Shigeru Sasamura","Shigeru Sasamura"
12,製品の仕様について,822ca354-c90f-4510-a497-a3945792530e,ACCESSORIES,5d4cac85-f519-440d-9b91-2c65c0324c08,"UNIVERSAL
GEL EARTIP SET",43cd45a5-3c15-4f17-837c-c446d13cd826,"<div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/71d89603-626f-450f-8133-697c100cdbd6/9b99bbfb-ad2b-4358-91fd-1cd8b3a610b6.png"" /></div></div><div data-component-type=""text""><div><strong>Lost your eartips for your favorite JLab earbuds? Need more variety of sizes? We've got you covered with this 8 eartip set. Universal fit to all JLab and other brand earbuds.</strong></div><div><strong>As shown/pictured:<br />
Top row: Large, Medium, Small, Extra Small<br />
Bottom row: Triple Flange, Medium Double Flange, Small Double Flange, Shallow (gray)</strong></div></div>",,,"Shigeru Sasamura","Shigeru Sasamura"
13,BLUETOOTHペアリング方法,2812959c-db18-44fb-b5e5-197a1773996f,EARBUDS,44f81633-c044-47e0-a59c-c3ca22bb8212,"BLUETOOTHペアリング方法：GO AIR POP
TRUE WIRELESS EARBUDS",dface9a2-b6dc-421e-8ef0-aa2f2f7b56a8,"<div data-component-type=""heading""><h2 id="""" level=""4"">GO AIR POP TRUE WIRELESS EARBUDSのペアリング方法について</h2></div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/e0fca4e6-1cc3-411d-b34c-bdf04df49b25/ee6de323-c0b3-488a-9f9e-76bbd91c7161.png"" /></div></div>",,,"Shigeru Sasamura","Shigeru Sasamura"
14,取扱説明書のダウンロード,a668a543-9a3a-44b0-ad14-600f75ec03fe,EARBUDS,7530b114-0442-4aa4-8b12-b89d5d993973,"取扱説明書：EPIC AIR ANC
TRUE WIRELESS EARBUDS",0d812a04-fe08-4464-9e3a-6275e5ca78a0,"<div data-component-type=""text""><div><br />
<br />
<br />
<br />
<br />
<br />
</div><h3>FIRST TIME SET UP: BLUETOOTH PAIRING</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_Epic_Air_ANC_BT_Set_Up.png?v=1595889960"" alt=""How to wirelessly connect your Epic Air ANC"" /></div><h3>HOW TO CONTROL YOUR EPIC AIR ANC</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_Epic_Air_ANC_Controls.png?v=1596563147"" alt=""Controls for your Epic Air ANC"" /></div><h3>HOW TO FIT YOUR EPIC AIR ANC</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_Epic_Air_ANC_Fitting.png?v=1595889960"" alt=""How to fit your Epic Air ANC"" /></div><h3>HOW TO CHARGE YOUR EPIC AIR ANC</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_Epic_Air_ANC_Charging.png?v=1596563146"" alt=""How to charge your Epic Air ANC"" /></div><h3>TROUBLESHOOTING CONNECTION</h3><div><img",,,"Shigeru Sasamura","Shigeru Sasamura"
15,取扱説明書のダウンロード,a668a543-9a3a-44b0-ad14-600f75ec03fe,EARBUDS,7530b114-0442-4aa4-8b12-b89d5d993973,"取扱説明書：JBUDS AIR SPORT
TRUE WIRELESS EARBUDS",14f499aa-2c39-4f05-b57b-29a1a37666d6,"<div data-component-type=""text""><div><br />
<br />
<br />
<br />
</div><h3>FIRST TIME SET UP: BLUETOOTH PAIRING</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_BT_Set_Up.png?v=1620242764"" alt=""How to wirelessly connect your JBuds Air Sport"" /></div><h3>HOW TO CONTROL YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Controls.png?v=1620242763"" alt=""Controls for your JBuds Air Sport"" /></div><h3>HOW TO FIT YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Fitting.png?v=1620242763"" alt=""How to fit your JBuds Air Sport"" /></div><h3>TROUBLESHOOTING CONNECTION</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Troubleshoot.png?v=1620242763"" alt=""How to reconnect your JBuds Air Sport"" /></div></div><div dat",,,"Shigeru Sasamura","Shigeru Sasamura"
16,取扱説明書のダウンロード,a668a543-9a3a-44b0-ad14-600f75ec03fe,EARBUDS,7530b114-0442-4aa4-8b12-b89d5d993973,"取扱説明書：GO AIR
TRUE WIRELESS EARBUDS",88002984-45c2-45db-bb36-abc5c55a1324,"<div data-component-type=""text""><div><br />
<br />
<br />
<br />
<br />
<br />
<br />
</div><h3>FIRST TIME SET UP: BLUETOOTH PAIRING</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_GO_Air_BT_Set_Up.png?v=1577745323"" alt=""How to wirelessly connect your GO Air"" /></div><h3>HOW TO CONTROL YOUR GO AIR</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_GO_Air_Controls.png?v=1578599044"" alt=""Controls for your GO Air"" /></div><div><strong>TURNING OFF EARBUDS</strong><br />
The earbuds will automatically turn off when returned to the case. If the case does not have a charge, then it's not able to turn them off. You can charge the case or manually turn off each earbud by disconnecting them from Bluetooth (and they will auto shut off in 3 minutes).</div><h3>TROUBLESHOOTING</h3><div><strong>Connection failure or earbuds disconnected from each other (Manual Reset)</strong></div><div><img data-composite=""true"" src=""https://c",,,"Shigeru Sasamura","Shigeru Sasamura"
17,取扱説明書のダウンロード,a668a543-9a3a-44b0-ad14-600f75ec03fe,HEADPHONES,6a475060-3d17-4b60-a408-aa2a26756e69,"JBUDS WORK
WIRELESS OVER-EAR
HEADSET",d41b4024-7108-4e29-af20-4094c6c8a6f9,"<div data-component-type=""text""><div><br />
<br />
<br />
<br />
</div><h3>FIRST TIME SET UP: BLUETOOTH PAIRING</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Work_BT_Setup.png?v=1629153161"" alt=""Power &amp; Bluetooth Function for the JBuds Work Wireless Over-Ear Headset"" /></div><h3>MULTIPOINT (CONNECT 2 DEVICES SIMULTANEOUSLY)</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Work_BT_Multipoint.png?v=1629153161"" alt=""How to use Bluetooth Multipoint Functionality for JBuds Work Wireless Over-Ear Headset"" /></div><h3>CONTROLS &amp; EQ SETTINGS</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Work_Controls.png?v=1629153161"" alt=""Button Controls for JBuds Work Wireless Over-Ear Headset"" /></div><h3>HOW TO CHARGE YOUR HEADPHONES<br />
<img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Work_Charging.png",,,"Shigeru Sasamura","Shigeru Sasamura"
