№,メインカテゴリ,タイトル,内容,内部メモ,ラベル
78,サービス内容,"取引履歴はどのくらい前のものまで確認できますか。
",10年前のものまでご確認いただけます。,,
79,利用者登録・口座登録,端末認証用のSMS（確認コード）が届かないのはどうしてですか。,"次の可能性がございます。
・既にSMSアプリに届いている
※iPhone(メッセージ・＋メッセージ・メールアプリ)、Android(メッセ―ジ・＋メッセージ)等
・入力いただいた電話番号に誤りがある
・SMSの受信制限（受信拒否や国際SMS拒否設定）を行っている
※各メッセージアプリの操作方法についてはご契約のキャリアへご相談ください。

上記をご確認のうえ、再度お試しください。

また、通信環境の良いところでお試しいただく、端末の再起動をお試しいただくことで改善する場合がございます。
SMS以外にも音声で認証コードを確認する方法がございます。操作方法は、こちらをご確認ください。",,
80,利用者登録・口座登録,"解約し新規登録した場合、以前と同じJ-Coin IDを設定することは可能ですか。
",以前と同じJ-Coin IDはご利用いただけません。,,
81,利用者登録・口座登録,"J-Coin IDに使用できる文字数や制限はありますか。
",半角の英数字で4文字以上16文字以内となります。記号は「.」（ピリオド）「-」（ハイフン）「_」（アンダーバー）のみ利用可能です。,,
82,利用者登録・口座登録,SMS以外に端末認証をする方法はありますか。,"SMS以外にも音声で認証コードを確認する方法がございます。
端末認証の画面にて電話番号を入力いただき、一番下の
「認証コードを通話で確認」をタップいただきますとお電話がかかり
自動音声にて認証コードが通知されます。

※画面上に「認証コードを通話で確認」が見あたらない場合はキーボードで隠れている可能性がございます。
　余白をタップいただきキーボードを非表示にしていただくと表示されます。
※通話には通話料が発生する可能性がございます。通話料につきましてはご契約のキャリアまでご相談ください。",,
83,利用者登録・口座登録,どのようにJ-Coin Payアプリをインストールするのですか。,"App Store(iPhone)・Google Play(Android)へアクセスし、J-Coin Payと検索しインストールしてください。
↑各プレイストアにリンク。
※アプリのダウンロードおよびご利用には別途通信費用がかかり、お客さまのご負担となります。",,
84,利用者登録・口座登録,"どのように新規登録するのですか。
","以下の手順で操作をお願いいたします。

1. インストールしたJ-Coin Payアプリを起動します。
2. 通知設定の選択をします。
3. 「はじめる」をタップします。
4. 利用規約を確認のうえ、同意をタップします。
5. 端末認証を行います。
6. パスワードを設定します。
7. 会員情報を登録します。

【J-Coin Liteを利用する場合】
8. 「J-Coin Liteをつかう」を選択します。
※8の後、ホーム画面の「口座登録」から口座を登録すると、J-Coin Payへ変更できます。

【J-Coin Payを利用する場合】
8. 「J-Coin Payをつかう」を選択します。
9. 利用規約を確認のうえ、同意をタップします。
10. 会員情報の再確認をします。
11. 本人確認をします。
12. (本人確認完了の通知受領後）金融機関口座を登録します。",,
85,利用者登録・口座登録,"ミドルネームはどのように登録するのですか。
","「会員情報の登録」画面で姓名のどちらかの枠にミドルネームをご入力ください。
文字数の制限を超える場合は、スペースを削除しご入力ください。

例:「ミズホ　ジェイコイン　ギンコウ」の場合は次のようにご入力ください。
　姓_Last(カナ)「ミズホ　ジェイコイン」名_First(カナ)「ギンコウ」",,
86,利用者登録・口座登録,"登録する氏名の文字数に制限はありますか。
","姓名欄は合わせて30文字、カナ欄はセイメイ合わせて25文字になります。(スペースも1文字に含まれます。)
文字数制限を超える場合は、スペースを入力せずにご登録ください。",,
87,利用者登録・口座登録,"本人以外のアカウント作成や複数アカウントの作成はできますか。
","ご本人さま以外のアカウントは作成いただけません。
また、J-Coin Pay/J-Coin Liteユーザー1人につき1アカウントとし、
同一のユーザーが複数のアカウントを保有または利用することはできません。",,
88,利用者登録・口座登録,J-Coin Pay/J-Coin Liteを利用する際に必要なものは何ですか。,"J-Coin Pay/J-Coin Liteのご登録には、電話番号認証(SMS認証)に対応したスマートフォンが必要となります。
ご利用の推奨環境は以下となります。
iOS：10以上　Android：6以上
※タブレットやiPadでの動作保証はいたしかねます。",,
89,利用者登録・口座登録,「会員情報の登録」画面で「次へ」をタップしても反応しません。,"次の注意事項をご確認いただき、「次へ」がグレーからピンクに変わればタップすることが可能となります。
・「*」がついている入力必須項目をすべてご入力いただいておりますでしょうか。
・姓名のカナ欄に漢字やひらがな、記号のご入力はございませんでしょうか。
　※「へ」「べ」「ぺ」等、ひらがなとカタカナの表記が似ている字がございますので誤入力にご注意ください。",,
90,利用者登録・口座登録,自分以外の名義の金融機関口座を登録することはできますか。,アプリに登録されたご本人さま以外の名義の金融機関口座は登録できません。,,
91,利用者登録・口座登録,"本人確認完了後、金融機関口座を登録する際に必要なものは何ですか。
","ご登録いただく金融機関により異なります。
アプリ内メニュー＞「金融機関口座情報」＞「＋口座の登録」より、ご登録いただく金融機関を選択いただくと、登録の際に必要なものをご確認いただけます。
ご不明な点がございましたら、各金融機関へご相談ください。",,
92,利用者登録・口座登録,"金融機関口座を開設後、いつから口座登録できますか。
",金融機関やご契約状況により異なりますので、口座開設された金融機関へご相談ください。,,
93,利用者登録・口座登録,"登録した口座を削除できますか。
","【登録口座が1つの場合】
1つの場合は口座の削除はできません。
口座の追加登録後に、削除可能となります。
※口座登録いただいた日から4日未満の口座は削除できません。

【登録口座が2つ以上の場合】
アプリ内メニュー＞「金融機関口座情報」＞削除されたい口座の右側にあるごみ箱マークをタップしてください。
※口座登録いただいた日から4日未満の口座は削除できません。
",,
94,利用者登録・口座登録,どのように金融機関口座を追加登録するのですか。,"アプリ内メニュー＞「金融機関口座情報」＞「＋口座の登録」よりご登録ください。
なお、2021年10月現在、ご登録できる口座の数に制限はございません。

※三井住友信託銀行の口座登録は１つしかできません。
　最後に登録した口座のみ利用可能となります。",,
95,利用者登録・口座登録,"口座はいくつ登録できますか。
","2021年10月現在ご登録できる口座の数に制限はございません。

※三井住友信託銀行の口座登録は１つしかできません。
　最後に登録した口座のみ利用可能となります。",,
96,利用者登録・口座登録,「この口座番号は既に使用されております」と表示され、金融機関口座の登録ができません。,"アプリの名義人ご本人さまからJ-Coin Payサポートセンターへお問い合わせください。
【J-Coin Payサポートセンター】
0120-324-367　受付時間：平日9:00～21:00　土日祝9:00?17:00",,
97,利用者登録・口座登録,"どの金融機関の口座でも登録できますか。
","ご登録可能な金融機関であればご登録いただけます。
ご登録可能な金融機関はこちらをご覧ください。
",,
98,利用者登録・口座登録,"他メガバンク、ネット銀行、ゆうちょ銀行の口座は登録できますか。
","2021年10月現在はご登録できません。
ご登録可能な金融機関は順次拡大予定です。
変更がございましたらお知らせにて掲載いたします。",,
99,トラブル,金融機関口座の登録ができません。,"金融機関口座を登録する際「金融機関のページに遷移します」と
表示された後のエラーについては、該当する金融機関へお問い合わせください。
みずほ銀行の口座の場合は、こちらをご確認ください。",,
100,トラブル,みずほ銀行の口座登録ができません。,"みずほ銀行の場合は、口座登録時に
みずほダイレクトもしくはキャッシュカードの口座振替方式がご選択できます。
以下のいずれかをご確認ください。

■みずほダイレクトをご選択の場合
みずほダイレクトヘルプデスクへお問い合わせください。
【みずほダイレクトヘルプデスク】
0120?3242?99
受付時間(平日9時00分～21時00分
土･日曜日、祝日・振替休日9時00分～17時00分)
※お問い合わせ窓口のご利用時間は変更になる場合があります

■キャッシュカードをご選択の場合
登録時にお困りの場合、こちらをご確認ください。
・キャッシュカードが発行されているか。
・J-Coin Payの登録カナ氏名は、みずほ銀行の口座名義と一致しているか。
・J-Coin Payの登録生年月日とみずほ銀行にお届けの生年月日が一致しているか。
・届出電話番号欄にご入力いただいた電話番号は、みずほ銀行に届出の電話番号と同一か。
・暗証番号は正しい番号を入力しているか。

上記ご確認いただいても解決しない場合は、J-Coin Payサポートセンターへご連絡ください。
【J-Coin Payサポートセンター】
0120-324-367　受付時間：平日9:00～21:00　土日祝9:00?17:00",,
101,支払う,J-Coin Pay/J-Coin Liteと現金を併用して支払いできますか。,ご利用いただく店舗へご確認ください。,,
102,支払う,J-Coin Pay/J-Coin Liteが使えるお店はどこですか。,"使えるお店からご確認いただけます。
もしくは、アプリホーム画面の「使えるお店マップ」のボタンから、いつでもご確認いただけます。

※店頭にJ-Coin Pay/J-Coin Liteのマークが掲示されているお店で使えます。
※一部店舗を除きます。詳細については各加盟店にお問い合わせください。",,
103,支払う,J-Coin Pay/J-Coin Liteで支払いをした場合、お店のポイントやスタンプなどはつきますか。,ご利用いただく店舗にご確認ください。,,
104,支払う,J-Coin Pay/J-Coin Liteで支払えない商品はありますか。,ご利用いただく店舗にご確認ください。,,
105,支払う,店舗での支払方法にはどのようなものがありますか。,"以下の方法があり、店舗によって異なります。
・店舗のQRコードを読み取る
・アプリに表示したQRコードを店舗に読み取ってもらう
・アプリに表示したバーコードを店舗に読み取ってもらう
※QRコードは（株）デンソーウェーブの登録商標です。",,
106,支払う,"返品した場合は、いつアプリ残高に返金されますか。
",返品の対応をした店舗へご確認ください。,,
107,支払う,"J-Coin Payで公共料金や税金などの支払いはできますか。
","対応している請求書や払込票であれば、J-Coin Payの「請求書払い」という機能を使って、お支払いいただけます。
※J-Coin Liteでは「請求書払い」の機能はご利用いただけません。

請求書払いについて、詳しくは、こちらをご確認ください。

対応していないバーコードを読み込んだ場合、
「読み込んだバーコードはJ-Coinでは決済できません」と表示されますので、
この場合は「請求書払い」でのお支払いができません。
請求書に記載されている方法でお支払いください。",,
108,トラブル,"請求書払いの画面でバーコードを読み込むと、
「読み込んだバーコードはJ-Coinでは決済できません。」と表示され、支払いができません。
","J-Coin Payの請求書払いに対応していない請求書を読み込んだ場合、
「読み込んだバーコードはJ-Coinでは決済できません。」と表示されます。
請求書に記載の支払い方法にてお支払いください。
お支払い可能な公共料金や税金の一覧はこちらをご確認ください。
(https://j-coin.jp/user/bill-payment/index.htmlにリンク)",,
109,サービス内容,"請求書払いサービスとは何ですか。
","J-Coin Payの請求書払いに対応している請求書や払込票のバーコードを、
J-Coin Payアプリで読み込むだけでお支払い可能な機能です。
詳しくはこちらをご確認ください。
(https://j-coin.jp/user/bill-payment/index.htmlにリンク)",,
110,支払う,"加盟店で二重支払いしてしまいました。
",ご利用いただいた店舗へご相談をお願いいたします。,,
111,支払う,"J-Coinボーナスを使うにはどうすればよいですか。
","通常の残高と同様、J-Coinボーナス1コイン=1円で決済にご利用いただけます。
お支払い時に、自動的にJ-Coinボーナスが優先し消費されます。
ボーナスが不足していた場合は残高から自動的に支払われます。

※J-Coinボーナスは全加盟店で使用可能な加盟店共通ボーナスと、
　特定の加盟店でのみ使用可能な限定ボーナスがございます
※J-Coinボーナスは有効期限がございます
※J-Coinボーナスは有効期限の近いものから順に消費されます
※有効期限が同じ加盟店共通ボーナスと限定ボーナスがある場合、
　限定ボーナスが使用できる加盟店の場合は限定ボーナスから消費されます",,
112,送る・もらう,"送金やリクエストをキャンセルする方法はありますか。
","以下手順で操作を実施ください。
アプリ内「りれき」＞キャンセルしたい未完了の取引をタップ＞「キャンセル」をタップでキャンセル可能です。
※送金お受け取り後のキャンセルはできません。",,
113,送る・もらう,"「送る」や「もらう」の取引時、相手にメッセージを送ることはできますか。
",送金時や受取時、定型文もしくは30文字以内のメッセージを相手へ送信できます。,,
114,送る・もらう,"「送る」「もらう」の画面からIDや電話番号でユーザーを検索しても、
「該当するユーザーが見つかりません。」と表示されます。","相手のユーザーが、アプリの「各種設定」画面にて
「検索にJ-Coin IDを利用する」や「検索に電話番号を利用する」をオフにしている可能性があります。
オフに設定されている場合、検索しても表示されません。",,
115,送る・もらう,通帳に記帳した場合、J-Coin Pay/J-Coin Liteアプリで行った「送る」や「もらう」の取引は確認できますか。,"通帳では「送る」や「もらう」の取引は確認できません。
アプリ内「りれき」よりご確認ください。",,
116,送る・もらう,"「QRでおくる」「SMSでおくる」「LINEでおくる」以外の送金方法はありますか。
","ユーザーを検索し、相手のアプリに直接送金する方法があります。
以下の手順で実施ください。
「送る」＞「＋ユーザーをさがす」＞IDか電話番号かどちらで検索するか選択＞IDか電話番号を入力し検索

※検索結果に出てこない場合、相手のユーザーが、アプリの「各種設定」画面にで
　「検索にJ-Coin IDを利用する」や「検索に電話番号を利用する」をオフにしている可能性があります。",,
117,トラブル,「J-Coin Payユーザーへの送金はできません」と表示され、送金ができません。,"J-Coin LiteユーザーからJ-Coin Payユーザーへの送金はできません。
J-Coin Liteユーザー間のみ、送金をご利用いただけます。",,
118,トラブル,送金を受け取ろうとしたところ、「相手がJ-Coin Liteユーザーのため受取できませんでした」と表示されました。,"J-Coin Payユーザーは、J-Coin Liteユーザーからの送金は受け取れません。
J-Coin Payユーザーからの送金であれば受け取り可能です。
",,
119,送る・もらう,"送金の受取に期限はありますか。
","送金の受取可能時間は相手が送金してから72時間です。
72時間経過すると送金した人の残高へ戻ります。",,
120,送る・もらう,"どのようにLINEで送金するのですか。
","以下の手順で実施いただけます。
1. アプリのホーム画面より「送る」をタップします。
2. 「LINEでおくる」をタップします。
3. 金額を入力し、「この金額を送る」をタップします。
4. LINEアプリへ移動します。
5. 送りたい相手を選択し送信します。

※金額を入力後、「この金額をおくる」をタップした時点で、入力した金額分が残高から差し引かれます。
以下の手順で操作いただくと、差し引かれた残高がアプリに戻ります。
アプリ内「りれき」＞キャンセルしたい未完了の取引を選択＞「キャンセル」
",,
121,送る・もらう,J-Coin Payアプリを利用していない人へ送金できますか。,"J-Coin Payアプリを利用していない人への送金はできません。

",,
122,送る・もらう,"LINEやSMSで、一度に複数人へ送金できますか。
","複数人へまとめて送金することはできません。

",,
123,送る・もらう,"送金し相手が受け取った後に送金のキャンセルはできますか。
",お受取後のキャンセルはできません。,,
124,送る・もらう,「LINEでおくる」「SMSでおくる」の操作を途中でやめたのに残高が減っています。,"金額を入力後、「この金額をおくる」を選択した時点で、入力した金額分が残高から差し引かれます。
以下の手順で操作いただくと、差し引かれた残高がアプリに戻ります。
アプリ内「りれき」＞キャンセルしたい未完了の取引を選択＞「キャンセル」",,
125,トラブル,エラーメッセージが表示され、パスワードの再設定ができません。,"次の点をご確認ください。

【「現在のパスワードと新しいパスワードが同じです」と表示される場合】
パスワードを変更したい場合は、現在のパスワードとは異なるパスワードの入力をお願いいたします。

【「過去に使用したパスワードは使用できません」と表示される場合】
過去に使用していないパスワードの入力をお願いいたします。

【「再入力パスワードが違います。再度入力してください」と表示される場合】
確認のため、パスワードは2回入力いただきます。
1回目と2回目は、同じパスワードの入力をお願いたします。

【再設定の画面で「入力内容に誤りがあります」と表示される場合】
ご登録の口座番号(7桁)と入力した口座番号が相違しています。
正しく入力してください。
口座未登録の場合は口座番号の入力は不要となります。

【再設定の画面で「生年月日に誤りがあります」と表示される場合】
生年月日は正しく入力してください。
正しく入力していても同様のメッセージが表示される場合は、
アプリの名義人ご本人さまからJ-Coin Payサポートセンターまでお問い合わせください。
【J-Coin Payサポートセンター】
0120-324-367　受付時間：平日 9:00～21:00　土日祝 9:00?17:00",,
126,トラブル,"アプリを立ち上げると「はじめる」の画面になります。このまま進んで問題ないでしょうか。
","既にアカウント登録済みで電話番号に変更がない場合、
「はじめる」から進んでいただき、端末認証後にログインの操作をしていただければ引き続き、ご利用いただけます。

電話番号に変更がある場合の操作方法は、こちらをご確認ください。
",,
127,トラブル,「アカウントを引継ぐ」の操作で「ログイン情報に誤りがあります」と表示されて引き継ぎができません。,"次の点をご確認ください。

1. 旧電話番号のアカウントにて「アカウントを引継ぐ」をオンにしてから24時間経過していないでしょうか。
　　24時間を経過している場合は、再度旧電話番号のアカウントで「アカウントを引継ぐ」をオンにしてください。
2. 「以前の電話番号を入力してください」欄に入力した旧電話番号に誤りはないでしょうか。
3. 「ご登録のパスワード(数字6桁)」欄に入力したパスワードに誤りはないでしょうか。
4. 「姓_Last(カナ)」や「名_First(カナ)」欄の入力に誤りはないでしょうか。
　　(例：姓名を反対に入力している)
5. アプリに登録した口座番号(7桁)は正しく入力されているでしょうか。
　※口座未登録の場合は口座番号の入力は不要です。

上記お試しいただくもログインできない場合は、
名義人ご本人さまからJ-Coin Payサポートセンターまでお問い合わせください。
【J-Coin Payサポートセンター】
0120-324-367　受付時間：平日 9:00～21:00　土日祝 9:00?17:00",,
128,トラブル,加盟店で利用しようとしたができませんでした。,"以下をご確認ください。

・J-Coin Pay/J-Coin Liteの取扱店舗かをご確認ください。取扱店舗は、加盟店MAP（https://map.j-coin.jp/m/jcoinpay/）に掲載がございます。
・アプリ残高が不足している可能性があります。残高をお確かめください。
・うまく読み取りができていない可能性があります。何度か読み取りをお試しください。
・続けて支払いする場合は、支払毎に「支払う」をタップしてください。
・スマートフォンの画面が暗い場合は、読み取りづらい場合があります。明るさを調整してください。

加盟店側の端末にエラーメッセージが表示された場合は、何度か支払をお試しください。
改善が無い場合は、加盟店にご相談ください。",,
129,トラブル,J-Coin Payから身に覚えのない4桁の認証コードが届きました。どうしたら良いですか。,"お客さまご自身で認証コードを取得した覚えがない場合は、
第三者が誤ってお客さまの電話番号を入力したために認証コードが届いた可能性がございます。
届いた認証コードは念のため削除していただくようお願いいたします。",,
131,トラブル,"Androidを利用しているのですが、
「デバイスが対応しておりません」「このアプリはお使いのデバイスに対応しなくなりました」
「詳しくはデベロッパーにお問い合わせください」と表示され、アップデートができません。","Android OSのバージョンをご確認ください。
Androidの場合、推奨環境はOSのバージョンが6.0以上となっております。
6.0未満の場合は、OSのアップデートが必要となります。
OSのアップデートの方法についてはキャリアへご相談ください。

ご利用端末のOSをアップデートできず、J-Coin Payアプリのご利用ができない場合は、
名義人ご本人さまからJ-Coin Payサポートセンターまでお問い合わせください。
【J-Coin Payサポートセンター】
0120-324-367　受付時間：平日 9時00分～21時00分　土日祝 9時00分?17時00分",,
133,トラブル,アプリに登録した名_Firstと名_First（カナ）の編集ができません。,"本人確認済みの場合は、名_Firstと名_First（カナ）の編集ができません。
編集が必要な場合は、アカウントを解約のうえ、新規で再度ご登録をお願いいたします。
解約の操作方法は、こちらをご確認ください。


なお、J-Coin Liteユーザーの場合は、解約すると残高が失効となります。
残高がある場合は、アプリの名義人ご本人さまからJ-Coin Payサポートセンターまでお問い合わせください。
【J-Coin Payサポートセンター】
0120-324-367　受付時間：平日 9:00～21:00　土日祝 9:00?17:00",,
134,トラブル,「ログイン情報に誤りがあります」と表示され、ログインできません。,"次の点をご確認ください。
1. 「ご登録のパスワード(数字6桁)」欄に入力したパスワードに誤りはないでしょうか。
2. 「姓_Last(カナ)」や「名_First(カナ)」欄の入力に誤りはないでしょうか。
　(例：姓名を反対に入力している)
3.アプリに登録した口座番号(7桁)は正しく入力されているでしょうか。
　※口座未登録の場合は口座番号の入力は不要です。

上記ご確認いただき問題ない場合は、
「パスワードを忘れた方」より、パスワードの再設定をお試しください。
パスワード再設定後もログインができない場合は、
名義人ご本人さまからJ-Coin Payサポートセンターまでお問い合わせください。
【J-Coin Payサポートセンター】
0120-324-367　受付時間：平日 9:00～21:00　土日祝 9:00?17:00",,
135,トラブル,"アプリに登録した金融機関口座はどのような順番で表示されますか。
金融機関名と支店名、口座番号の上4桁目までが同じで区別がつきません。
",金融機関口座は、登録いただいた順番に上から表示されます。,,
136,トラブル,アプリを立ち上げたところ、アクティブコードの入力を求められました。,"アクティブコードの入力を求められる場合は、
J-Coin Shopという加盟店用のアプリをインストールされております。
個人のお客さま用のJ-Coin Payアプリをダウンロードください。",,
137,トラブル,認証コードを入力したところ、「コードが一致しません」と表示されました。,"「認証コードを再送」をタップし、認証コードを再度入手してください。
その後、お使いのメッセージアプリに届いたSMSをご確認いただき、記載された4桁の数字をご入力ください。
(認証コードの有効期限は10分間です。)
SMSが届かない場合は、「認証コードを通話で確認」よりお進みください。",,
138,トラブル,"生年月日を間違えて登録してしまいました。修正できますか。
","【J-Coin Payユーザーの場合】
生年月日の変更はできません。
一度解約し、再度会員情報の登録をお願いいたします。
解約の操作方法は、こちらをご確認ください。

【J-Coin Liteユーザーの場合】
以下の手順で操作を実施ください。
アプリメニュー＞「会員情報の編集」画面＞生年月日を変更",,
139,トラブル,「通信状態のよいところでお試しください」と表示されました。,"通信状態が不安定な可能性があります。
Wi-Fiやモバイル回線の電波状況をご確認ください。",,
140,トラブル,パスワードを忘れてしまいました。,"以下の手順でパスワードの再設定が可能です。

【J-Coin Payユーザーの場合】
1.パスワード入力欄の下に表示されている「パスワードを忘れた方」をタップ
2.アプリにご登録の電話番号と口座番号を入力し「確認」をタップ
3.SMSアプリに届いた「パスワード変更用URLはこちらです」に記載のURLをタップ
4.新たに設定いただくパスワードを入力
5.確認のため新たに設定いただくパスワードを再度入力

【J-Coin Liteユーザーの場合】
1.パスワード入力欄の下に表示されている「パスワードを忘れた方」をタップ
2.アプリにご登録の電話番号と生年月日を入力し「確認」をタップ
3.SMSアプリに届いた「パスワード変更用URLはこちらです」に記載のURLをタップ
4.新たに設定いただくパスワードを入力
5.確認のため新たに設定いただくパスワードを再度入力

再設定時にエラーが出る場合の操作方法は、こちらをご確認ください。
",,
141,トラブル,知らないユーザーからの送金や、身に覚えのないリクエストが届きました。,"知らないユーザーからの送金の受け取りは行わないでください。
身に覚えのないリクエストが届いた場合は、放置してください。（72時間経過後自然にリクエストが却下されます。）",,
142,トラブル,パスワードの入力を数回誤ってしまい、「このアカウントはセキュリティ上の理由からロックされました」と表示されました。,"アプリの名義人ご本人さまからJ-Coin Payサポートセンターまでお問い合わせください。
【J-Coin Payサポートセンター】
0120-324-367　受付時間：平日 9:00～21:00　土日祝 9:00?17:00",,
143,サービス内容,J-Coin Pay/J-Coin Liteを利用するにあたっての推奨環境はありますか。,"【アプリを利用するにあたっての推奨環境】
OSバージョン
iOS：10以上 / Android：6以上

【本人確認を実施する際の推奨環境】
OSバージョン
iOS 13以上 / Android OS 8以上
ブラウザ
Safari 13.0以降 / Google Chrome 88以降
※一部端末によってご利用できない場合がございます。",,
144,サービス内容,タブレットやiPadでJ-Coin Pay/J-Coin Liteを利用できますか。,"タブレットやiPadでのご利用は動作保証はしておりません。
スマートフォンでご利用ください。",,
145,トラブル,J-Coin Payアプリのインストールやアップデートが進みません。,"お使いのスマートフォンがJ-Coin Payアプリの
推奨環境(iOS：10以上 / Android：6以上)であるかご確認のうえ、以下をお試しください。

・通信状態が良好な場所でインストールやアップデートをお試しください。
・Wi-Fiをオフにして、モバイル回線でお試しください。
  Wi-Fi環境の場合、アプリのダウンロードやアップデートができない場合があります。
・スマートフォンの再起動をお試しください。

上記をお試しいただき解決しない場合は、キャリアへご相談ください。",,
146,トラブル,"ぽちっと募金のアイコンが見あたりません。
","ホーム画面の新着情報の上に表示されている「請求書払い」「使えるお店マップ」のアイコンの右側に
ぽちっと募金のアイコンがございます。
アイコンを左にスワイプ(選択しながら左にスライド)させると、「ぽちっと募金」のアイコンが表示されます。
※ぽちっと募金をご利用いただけるのは口座登録済みのJ-Coin Payユーザーのみとなります。",,
147,トラブル,"苦情・相談の窓口／指定紛争解決機関はどこですか。
","苦情、ご相談につきましては、J-Coin Payサポートセンターまでご連絡ください。
【J-Coin Payサポートセンター】
0120-324-367　受付時間：平日 9:00～21:00　土日祝 9:00?17:00
指定紛争解決機関は、一般社団法人全国銀行協会（0570-01-7109または03-5252-3772）となります。",,
148,チャージ・口座に戻す,"どのようにアプリの残高を口座に戻すのですか。
","以下の手順で実施ください。
1. アプリのホーム画面にある「口座に戻す」をタップします。
2. お金を戻したい金融機関口座を選択します。
3. 金額を入力し「金融機関口座に戻す」をタップします。
※「口座に戻す」は、口座登録済みのJ-Coin Payユーザーのみ利用可能です。",,
149,サービス内容,改姓した場合、J-Coin Pay/J-Coin Liteで手続きは必要ですか。,"以下2点の変更と、再度本人確認の実施をお願いいたします。
1. アプリ内メニューの「会員情報の編集」より、姓_Last、姓_Last（カナ）をご変更ください。（再度本人確認が必要になります。）
2. 金融機関口座をご登録済の方は、アプリ内メニューの「金融機関口座情報」より、登録口座の右横にある歯車マークから改姓後の姓_Lastをご登録ください。複数口座のご登録がある場合、それぞれについてご登録をお願いいたします。",,
150,チャージ・口座に戻す,"「口座に戻す」を行いましたが、口座にはいつ戻りますか。
","金融機関の営業時間内に口座に戻すを行った場合は
原則、当日中に口座に戻ります。
ただし、金融機関の状況に応じ、翌営業日以降のお戻しとなる場合がございます。
※金融機関の営業時間外に口座戻しを行った場合、口座に戻るまでの時間は各金融機関により異なります。",,
151,トラブル,"「口座に戻す」を行いましたが、「出金失敗」になりアプリ残高に戻ってきました。なぜですか。
","名義不一致、または通信状態不安定につき出金できなかった可能性がございます。
アプリ内メニューの「金融機関口座情報」画面で口座に戻す際に指定した口座の名義と、金融機関口座に登録されている名義が一致しているか、改めてご確認ください。（※「ズ」と「ヅ」などの表記も一致させてください。）
名義が一致している場合、時間や通信環境を変えて再度「口座に戻す」操作をいただくと完了する場合がございます。",,
152,チャージ・口座に戻す,"J-Coin Liteの残高を金融機関口座に戻せますか。
","残高を金融機関口座に戻すことはできません。
本人確認完了後、アプリに金融機関口座をご登録いただきJ-Coin Payユーザーになるくことで、口座への払い戻しが可能となります。",,
153,利用者登録・口座登録,J-Coin LiteからJ-Coin Payへどのように変更するのですか。,ホーム画面の「口座登録」から金融機関口座登録を実施いただくことで、J-Coin Payのご利用が可能になります。,,
